Equipos,Coordenadas,Estadios,en decimal,latitud,longitud
Universidad de Chile,33°27′52″S 70°36′38″O,Estadio Nacional Julio Martínez Prádanos,,"-33,464522","-70,610586"
Colo-Colo,33°30′24″S 70°36′21″O,Estadio Monumental David Arellano,,"-33,506611","-70,605944"
Deportes Concepción,36°48′55″S 73°01′24″O,Estadio Alcaldesa Ester Roa Rebolledo,,"-36,815278","-73,023333"
Everton,33°00′52″S 71°32′07″O,Estadio Sausalito,,"-33,014397","-71,535233"
Unión Española,33°24′16″S 70°39′32″O,Estadio Santa Laura,,"-33,404553","-70,659017"
Deportes Antofagasta,23°40′13″S 70°24′16″O,Estadio Regional Calvo y Bascuñán,,"-23,670139","-70,404583"
Santiago Wanderers,33°01′20″S 71°38′24″O,Estadio Elías Figueroa Brander,,"-33,022278","-71,64"
Cobresal,26°15′07″S 69°37′43″O,Estadio El Cobre,,"-26,251944","-69,628611"
Coquimbo Unido,29°57′55″S 71°20′18″O,Estadio Francisco Sánchez Rumoroso,,"-29,965278","-71,338333"
Deportes Temuco,38°44′34″S 72°37′11″O,Estadio Germán Becker,,"-38,742778","-72,619722"
Deportes La Serena,29°54′40″S 71°15′07″O,Estadio La Portada,,"-29,911111","-71,251944"
Universidad Católica,33°23′45″S 70°30′02″O,Estadio San Carlos de Apoquindo,,"-33,395944","-70,500656"
O'Higgins,34°10′40″S 70°44′16″O,Estadio El Teniente,,"-34,177764","-70,737719"
Cobreloa,22°27′37″S 68°55′14″O,Estadio Zorros del Desierto,,"-22,460278","-68,920556"
Audax Italiano,33°32′27″S 70°34′42″O,Estadio Bicentenario de La Florida,,"-33,540833","70,578333"
Ñublense,36°37′05″S 72°06′27″O,Estadio Nelson Oyarzún,,"-36,618056","-72,1075"
Unión San Felipe,"32°44'49.3""S 70°43'48.1""W",Estadio Municipal de San Felipe,,"-32,747028","-70,730028"
Deportes Iquique,20°14′33″S 70°07′59″O,Estadio Tierra de Campeones,,"-20,242413","-70,132937"
Palestino,33°31′15″S 70°40′22″O,Estadio Municipal de La Cisterna,,"-33,520833","-70,672778"
Huachipato,36°45′20″S 73°06′26″O,Estadio Huachipato-CAP Acero,,"-36,755556","-73,107222"
San Marcos de Arica,18°29′15″S 70°17′57″O,Estadio Carlos Dittborn,,"-18,487506","-70,299272"
Deportes Puerto Montt,41°29′29″S 72°59′13″O,Estadio Regional de Chinquihue,,"-41,4915","-72,98705"
Unión La Calera,"-32.784365, -71.200208",Estadio Municipal Nicolás Chahuán,,"-32,784365","-71,200208"
Rangers de Talca,35°25′11″S 71°40′26″O,Estadio Fiscal de Talca,,"-35,419722","-71,673889"
Curicó Unido,34°58′28″S 71°13′51″O,Estadio La Granja,,"-34,974356","-71,230707"
Deportes Melipilla,33°41′49″S 71°13′00″O,Estadio Roberto Bravo Santibáñez,,"-33,696944","-71,216667"
Deportes Vallenar,28°34′50″S 70°45′32″O,Estadio Municipal Nelson Rojas,,"-28,580575","-70,758817"
Santiago Morning,33°35′12″S 70°38′09″O,Estadio Municipal de La Pintana,,"-33,586667","-70,635833"